id,CERTLEVP,PGMCIPAP,PGM_P034,PGM_P036,PGM_280A,PGM_280B,PGM_280C,PGM_280F,PGM_P401,STULOANS,DBTOTGRD,SCHOLARP,PREVLEVP,HLOSGRDP,GRADAGEP,GENDER2,CTZSHIPP,VISBMINP,DDIS_FL,PAR1GRD,PAR2GRD,BEF_P140,BEF_160,overqualified
187,1.0,4.0,1.0,6.0,2.0,1.0,9.0,2.0,,2.0,6.0,9.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,9.0,3.0,4.0,0
5343,2.0,5.0,1.0,6.0,2.0,6.0,2.0,9.0,2.0,1.0,6.0,6.0,6.0,,1.0,2.0,1.0,2.0,1.0,3.0,6.0,3.0,6.0,0
7011,2.0,99.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,9.0,6.0,6.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,,2.0,3.0,3.0,0
1519,1.0,7.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,6.0,6.0,9.0,6.0,1.0,4.0,9.0,2.0,2.0,,6.0,3.0,1.0,,0
6770,2.0,5.0,9.0,1.0,2.0,9.0,2.0,1.0,2.0,1.0,6.0,1.0,6.0,,1.0,,1.0,2.0,1.0,6.0,6.0,3.0,3.0,0
12289,3.0,5.0,1.0,6.0,2.0,2.0,1.0,2.0,9.0,2.0,1.0,2.0,3.0,3.0,3.0,1.0,9.0,1.0,Without disability,6.0,1.0,1.0,6.0,1
2694,2.0,2.0,1.0,6.0,2.0,2.0,2.0,9.0,2.0,1.0,,2.0,6.0,,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,5.0,1
9483,9.0,,9.0,6.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,6.0,0
12041,3.0,1.0,2.0,,2.0,2.0,2.0,1.0,3.0,2.0,1.0,6.0,3.0,3.0,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,6.0,1
12283,1.0,8.0,,6.0,6.0,2.0,2.0,1.0,1.0,2.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,4.0,0
12230,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,6.0,6.0,6.0,6.0,2.0,1.0,,2.0,1.0,2.0,9.0,1.0,3.0,4.0,0
5322,2.0,5.0,1.0,6.0,2.0,1.0,2.0,6.0,2.0,1.0,3.0,1.0,9.0,9.0,1.0,2.0,1.0,9.0,1.0,1.0,1.0,3.0,6.0,1
5214,2.0,4.0,1.0,6.0,2.0,2.0,2.0,9.0,2.0,1.0,3.0,6.0,6.0,9.0,,1.0,1.0,2.0,1.0,2.0,1.0,1.0,5.0,0
2764,1.0,99.0,1.0,6.0,2.0,2.0,2.0,1.0,2.0,1.0,6.0,6.0,,1.0,1.0,2.0,,2.0,1.0,9.0,2.0,1.0,6.0,0
9523,1.0,,1.0,6.0,6.0,2.0,6.0,1.0,,1.0,0.0,1.0,6.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,9.0,3.0,5.0,0
11775,2.0,8.0,,6.0,2.0,1.0,2.0,2.0,1.0,1.0,6.0,6.0,6.0,9.0,1.0,2.0,2.0,1.0,2.0,2.0,,3.0,3.0,0
11515,9.0,4.0,1.0,6.0,2.0,2.0,,1.0,2.0,2.0,6.0,4.0,9.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,6.0,3.0,1.0,0
10647,1.0,9.0,1.0,6.0,2.0,6.0,2.0,1.0,2.0,2.0,6.0,6.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,6.0,1
688,1.0,9.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,6.0,6.0,6.0,1.0,4.0,,1.0,2.0,1.0,6.0,2.0,1.0,6.0,0
11444,3.0,9.0,1.0,6.0,2.0,2.0,6.0,1.0,1.0,2.0,,6.0,6.0,9.0,3.0,2.0,2.0,,1.0,1.0,1.0,1.0,6.0,1
11226,1.0,10.0,1.0,6.0,2.0,,2.0,9.0,1.0,2.0,6.0,6.0,6.0,1.0,2.0,1.0,1.0,2.0,2.0,,9.0,3.0,6.0,1
1273,2.0,6.0,1.0,6.0,2.0,2.0,6.0,,1.0,2.0,6.0,6.0,2.0,2.0,7.0,2.0,9.0,1.0,2.0,3.0,,3.0,2.0,1
8151,3.0,2.0,1.0,6.0,1.0,2.0,2.0,2.0,3.0,2.0,6.0,1.0,9.0,3.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,6.0,0
31,4.0,5.0,1.0,6.0,2.0,,2.0,1.0,2.0,1.0,6.0,6.0,6.0,2.0,1.0,1.0,1.0,2.0,Without disability,1.0,1.0,3.0,6.0,1
10225,1.0,4.0,1.0,6.0,2.0,2.0,2.0,1.0,,6.0,6.0,,6.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,,1
1575,1.0,5.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,6.0,6.0,2.0,2.0,4.0,1.0,2.0,,2.0,1.0,1.0,9.0,6.0,1
4630,2.0,5.0,1.0,6.0,2.0,2.0,9.0,1.0,2.0,2.0,6.0,6.0,1.0,2.0,1.0,Female,1.0,2.0,1.0,1.0,1.0,3.0,6.0,0
10766,3.0,6.0,2.0,4.0,2.0,2.0,2.0,1.0,6.0,2.0,6.0,6.0,2.0,9.0,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,99.0,1
2878,5.0,5.0,1.0,6.0,2.0,1.0,2.0,2.0,1.0,,1.0,6.0,6.0,2.0,,1.0,1.0,9.0,2.0,6.0,1.0,1.0,6.0,0
5193,2.0,5.0,2.0,1.0,2.0,2.0,,1.0,1.0,2.0,2.0,6.0,6.0,2.0,2.0,1.0,1.0,2.0,With disability,3.0,9.0,1.0,6.0,0
10796,2.0,8.0,1.0,6.0,2.0,6.0,2.0,1.0,2.0,2.0,6.0,1.0,6.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0,0
1282,2.0,4.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,2.0,,6.0,6.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0,99.0,1
9953,1.0,5.0,9.0,9.0,2.0,,1.0,2.0,3.0,1.0,6.0,1.0,3.0,3.0,4.0,2.0,1.0,2.0,1.0,6.0,1.0,1.0,6.0,0
11369,2.0,5.0,9.0,1.0,2.0,2.0,2.0,1.0,2.0,9.0,,9.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,6.0,0
3733,1.0,4.0,1.0,6.0,2.0,2.0,2.0,1.0,2.0,1.0,6.0,6.0,6.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,1.0,6.0,0
2101,1.0,10.0,1.0,,2.0,2.0,2.0,1.0,2.0,2.0,,6.0,6.0,1.0,1.0,2.0,,2.0,2.0,3.0,3.0,3.0,3.0,0
11949,1.0,9.0,1.0,6.0,2.0,2.0,2.0,1.0,6.0,,6.0,6.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,9.0,1.0,3.0,1.0,1
11146,9.0,5.0,2.0,5.0,2.0,2.0,1.0,2.0,1.0,2.0,4.0,1.0,6.0,2.0,,1.0,1.0,2.0,1.0,9.0,2.0,3.0,99.0,0
9467,1.0,8.0,1.0,6.0,2.0,2.0,2.0,1.0,6.0,2.0,3.0,6.0,2.0,2.0,2.0,2.0,3.0,Yes,2.0,6.0,,1.0,3.0,1
10457,2.0,4.0,1.0,6.0,2.0,1.0,2.0,2.0,1.0,6.0,3.0,6.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,6.0,0
2362,3.0,5.0,1.0,6.0,2.0,2.0,1.0,2.0,6.0,2.0,4.0,6.0,,3.0,2.0,2.0,9.0,1.0,2.0,1.0,1.0,1.0,4.0,0
917,9.0,8.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,2.0,6.0,9.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,,1.0,2.0,0
10136,,8.0,1.0,6.0,9.0,9.0,2.0,1.0,1.0,6.0,6.0,6.0,2.0,3.0,2.0,Male,3.0,1.0,2.0,1.0,1.0,4.0,2.0,0
11295,1.0,5.0,1.0,6.0,6.0,2.0,6.0,1.0,2.0,1.0,6.0,6.0,6.0,1.0,1.0,2.0,1.0,9.0,2.0,1.0,1.0,1.0,6.0,0
2346,3.0,4.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,6.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,9.0,3.0,1.0,0
4422,2.0,,1.0,6.0,2.0,2.0,2.0,1.0,2.0,,6.0,9.0,3.0,3.0,9.0,2.0,9.0,2.0,2.0,1.0,1.0,9.0,4.0,1
10059,2.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,6.0,9.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0,6.0,0
11298,1.0,7.0,1.0,,2.0,9.0,2.0,9.0,1.0,1.0,6.0,6.0,,2.0,3.0,2.0,4.0,9.0,1.0,6.0,1.0,1.0,6.0,0
2489,3.0,5.0,1.0,6.0,2.0,2.0,6.0,2.0,1.0,9.0,6.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,,3.0,5.0,0
8953,3.0,7.0,1.0,6.0,,2.0,2.0,1.0,1.0,2.0,9.0,,2.0,3.0,1.0,2.0,9.0,1.0,2.0,1.0,1.0,1.0,2.0,1
2006,1.0,8.0,1.0,6.0,,2.0,2.0,1.0,2.0,2.0,6.0,6.0,6.0,9.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,4.0,1
2284,3.0,5.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,6.0,6.0,3.0,1.0,1.0,1.0,9.0,2.0,6.0,,1.0,2.0,0
4618,1.0,9.0,1.0,6.0,6.0,2.0,2.0,1.0,1.0,2.0,6.0,1.0,9.0,1.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,,,0
2121,2.0,2.0,1.0,6.0,2.0,2.0,2.0,9.0,6.0,2.0,6.0,6.0,6.0,2.0,1.0,2.0,9.0,1.0,2.0,1.0,1.0,3.0,3.0,1
4607,3.0,4.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,2.0,,1.0,9.0,3.0,3.0,2.0,3.0,1.0,2.0,3.0,3.0,,6.0,0
11646,2.0,2.0,2.0,1.0,2.0,2.0,,1.0,1.0,2.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,6.0,1
5931,1.0,2.0,1.0,6.0,2.0,2.0,2.0,1.0,9.0,1.0,6.0,6.0,2.0,2.0,,1.0,9.0,Yes,2.0,3.0,3.0,1.0,4.0,1
11708,,5.0,1.0,6.0,2.0,1.0,2.0,2.0,2.0,6.0,0.0,6.0,9.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,6.0,3.0,6.0,0
11786,3.0,9.0,1.0,6.0,2.0,2.0,9.0,1.0,1.0,1.0,3.0,6.0,2.0,9.0,7.0,2.0,1.0,2.0,1.0,6.0,1.0,9.0,4.0,0
10486,1.0,10.0,1.0,6.0,6.0,2.0,2.0,9.0,1.0,1.0,6.0,6.0,6.0,,2.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,6.0,1
